leaver_hazardinflow,loser_hazardinflow,entrant_hazardinflow,date
0.016305582329938943,0.005641476550161392,0.03968621914971055,1986-11-01
0.016722240303169215,0.0042436159452966474,0.03392152508693354,1986-12-01
0.019464258738019616,0.005435191863156315,0.04029589001109085,1987-01-01
0.016644399644326784,0.005564095676655694,0.036171555433373935,1987-02-01
0.014552384264174548,0.00494989663199504,0.03940962634089456,1987-03-01
0.013989424239526803,0.004724152138437869,0.03697766666513389,1987-04-01
0.01303242297345011,0.005117887308943557,0.04905568345042013,1987-05-01
0.012480867496361308,0.005510928628327287,0.06739068970528458,1987-06-01
0.014613261357236779,0.007225823907362558,0.04668994170957989,1987-07-01
0.013119876714339592,0.006858309380296343,0.04131558000585686,1987-08-01
0.013053712761583227,0.008546698636451838,0.0492733493694016,1987-09-01
