date,unemp_rate,unemp_initialclaim,unemp_continueclaim,unemp_perlabforce,unemp_perlabforceperunemp,unemp_duration
1989-09-01,5.3,336000.0,2.2088e6,1.782095139740528,33.624436598877885,11.5
1989-10-01,5.3,363250.0,2.281e6,1.8363913018975775,34.648892488633535,11.9
1989-11-01,5.4,336750.0,2.285e6,1.8333239728170607,33.950443941056676,11.7
1989-12-01,5.4,355200.0,2.285e6,1.8353855916206814,33.988622067049654,11.6
1990-01-01,5.4,361000.0,2.35475e6,1.8713294604753918,34.654249268062806,11.8
1990-02-01,5.3,358250.0,2.354e6,1.872563837403548,35.33139315855751,11.6
1990-03-01,5.2,345200.0,2.3638e6,1.8789993720240699,36.13460330815519,11.7
1990-04-01,5.4,361750.0,2.38025e6,1.8943644597251073,35.08082332824273,11.8
1990-05-01,5.4,355250.0,2.39e6,1.898437562056667,35.15625114919753,11.7
1990-06-01,5.2,362400.0,2.4238e6,1.930191999872584,37.11907692062661,11.6
1990-07-01,5.5,367000.0,2.47175e6,1.9658877612700028,35.743413841272776,11.9
1990-08-01,5.7,384250.0,2.50925e6,1.9916263195491706,34.94081262366966,12.2
1990-09-01,5.9,394000.0,2.5954e6,2.0616083627236046,34.942514622433976,12.4
1990-10-01,5.9,425250.0,2.72075e6,2.159411087741577,36.600187927823335,12.2
1990-11-01,6.2,446750.0,2.88825e6,2.290989133021337,36.95143762937641,12.4
1990-12-01,6.3,455000.0,2.9682e6,2.35306242171521,37.3501971700827,12.5
1991-01-01,6.4,439750.0,3.088e6,2.4516692469532773,38.30733198364496,12.2
1991-02-01,6.6,484000.0,3.26275e6,2.589073162990002,39.228381257424275,12.7
1991-03-01,6.8,498600.0,3.419e6,2.7083762417021817,39.829062377973266,12.9
1991-04-01,6.7,467250.0,3.48325e6,2.752512880488036,41.08228179832889,13.5
1991-05-01,6.9,447000.0,3.48675e6,2.763401914785696,40.04930311283617,12.9
1991-06-01,6.9,428600.0,3.4268e6,2.712556696297821,39.31241588837421,13.7
1991-07-01,6.8,418250.0,3.3075e6,2.621795583176118,38.555817399648795,13.8
1991-08-01,6.9,431600.0,3.2918e6,2.609433214427269,37.81787267285897,13.9
1991-09-01,6.9,424500.0,3.29625e6,2.6026450848795895,37.71949398376216,14.0
1991-10-01,7.0,422750.0,3.311e6,2.614456499423572,37.34937856319389,14.4
1991-11-01,7.0,445400.0,3.3106e6,2.6129233392001643,37.32747627428806,14.8
1991-12-01,7.3,456750.0,3.34925e6,2.644200404219036,36.22192334546625,15.4
1992-01-01,7.3,439000.0,3.35325e6,2.634939219399502,36.09505779999317,16.1
1992-02-01,7.4,442200.0,3.3146e6,2.60567421604157,35.21181373029149,16.7
1992-03-01,7.4,429500.0,3.312e6,2.595529920692141,35.07472865800191,17.1
1992-04-01,7.4,418250.0,3.34375e6,2.615553695606261,35.345320210895416,17.4
1992-05-01,7.6,417400.0,3.3448e6,2.6106978668269343,34.35128772140703,17.8
1992-06-01,7.8,418750.0,3.28975e6,2.560933838812384,32.832485112979285,18.2
1992-07-01,7.7,442750.0,3.21775e6,2.5028585207252476,32.50465611331491,18.1
1992-08-01,7.6,407200.0,3.2502e6,2.5271162324181846,33.25152937392348,18.0
1992-09-01,7.6,417000.0,3.20425e6,2.4935603613979658,32.81000475523639,18.1
1992-10-01,7.3,377800.0,3.0624e6,2.392014122131442,32.76731674152661,18.9
1992-11-01,7.4,362250.0,2.949e6,2.2959958268777103,31.02697063348257,17.9
1992-12-01,7.4,339000.0,2.82375e6,2.196547754251132,29.683077760150432,19.0
1993-01-01,7.3,345600.0,2.713e6,2.1129283489096573,28.944223957666537,18.3
1993-02-01,7.1,338250.0,2.641e6,2.055924893739588,28.956688644219554,18.2
1993-03-01,7.0,351000.0,2.6875e6,2.0898458762966765,29.85494108995252,17.6
