date,laborforce_total,laborforce_rate,laborforce_rate_workage,laborforce_not,pop,laborforce_jobfindrate,laborforce_jobseparaterate
1995-09-01,132611.0,66.6,83.5,66394.0,167457.259971968,0.5459765964215858,0.11715879915614894
1995-10-01,132716.0,66.6,83.4,66476.0,167602.897170181,0.5462823677659596,0.11531886039361985
1995-11-01,132614.0,66.5,83.5,66741.0,167661.949497816,0.5254886430760652,0.11518305836544972
1995-12-01,132511.0,66.4,83.4,66997.0,167868.323383297,0.5020661827032783,0.11550091257953073
1996-01-01,132616.0,66.4,83.5,67018.0,167859.550369432,0.5019513800191188,0.11626980954618099
1996-02-01,132952.0,66.6,83.5,66820.0,168068.492447747,0.5484350339765632,0.11525299746279476
1996-03-01,133180.0,66.6,83.5,66741.0,168264.628528734,0.4934739616396805,0.11341576485253317
1996-04-01,133409.0,66.7,83.6,66692.0,168546.116444254,0.45734832632632094,0.1138239921217703
1996-05-01,133667.0,66.7,83.7,66611.0,168679.864746763,0.5261138440761272,0.11502515441291337
1996-06-01,133697.0,66.7,83.6,66762.0,168832.172893829,0.5488095072457162,0.11172337510379805
1996-07-01,134284.0,66.9,83.9,66357.0,168906.946953847,0.47828589472947297,0.11159145287083429
1996-08-01,134054.0,66.7,84.0,66793.0,169070.489542707,0.5731041954031745,0.10880393208873419
1996-09-01,134515.0,66.9,83.9,66546.0,169243.246922083,0.4934677029891529,0.10670099730556083
1996-10-01,134921.0,67.0,84.1,66352.0,169382.658538085,0.48282657329211154,0.10727088845154888
1996-11-01,135007.0,67.0,84.1,66456.0,169535.410801919,0.5580525104195863,0.11015659408653179
1996-12-01,135113.0,67.0,84.1,66523.0,169736.034925939,0.5043284419825711,0.11072109341019891
1997-01-01,135456.0,67.0,84.0,66829.0,170271.411121638,0.5645431147972467,0.11044066473969509
1997-02-01,135400.0,66.9,83.9,66988.0,170447.333372688,0.5100575477585347,0.1084813736053698
1997-03-01,135891.0,67.1,84.0,66622.0,170698.336406194,0.5402121888933904,0.10752293709966586
1997-04-01,136016.0,67.1,84.0,66658.0,170769.018501704,0.5131855490576148,0.1050312375314288
1997-05-01,136119.0,67.1,83.8,66713.0,170978.363067801,0.5729776129760428,0.10267256742505541
1997-06-01,136211.0,67.1,84.1,66789.0,171110.664508242,0.5138856477244064,0.10227335868248882
1997-07-01,136477.0,67.2,84.3,66689.0,171226.731360499,0.5272862905279129,0.10167566194367436
1997-08-01,136618.0,67.2,84.5,66746.0,171343.545711111,0.5523731088723364,0.10049638158247126
1997-09-01,136675.0,67.1,84.3,66895.0,171472.628309906,0.5184718113586487,0.10027484027162736
1997-10-01,136633.0,67.1,84.2,67134.0,171626.696033817,0.6059004546644781,0.09934292001224951
1997-11-01,136961.0,67.2,84.0,66980.0,171824.100935682,0.5890300778428048,0.0966685061860567
1997-12-01,137155.0,67.2,84.1,66943.0,171964.676923236,0.5365716868342235,0.0968288969952814
1998-01-01,137095.0,67.1,84.0,67143.0,172111.813097887,0.6089888504932499,0.09722794933785558
1998-02-01,137112.0,67.1,84.1,67288.0,172281.931025941,0.6051731180220539,0.09604566813286138
1998-03-01,137236.0,67.1,84.2,67311.0,172393.95503416096,0.6313180830202203,0.09720728186651632
1998-04-01,137150.0,67.0,83.9,67581.0,172572.848699816,0.7445224334273758,0.09383202823437972
1998-05-01,137372.0,67.0,83.9,67527.0,172769.599629903,0.6370497569085317,0.09152218497732663
1998-06-01,137455.0,67.0,84.0,67630.0,172932.646752356,0.5724395170664404,0.09290706927674658
