date,unemp_lvl,unemp_ft,unemp_pt,unemp_lvl_5,unemp_lvl_514,unemp_lvl_16,unemp_lvl_loser,unemp_lvl_leaver,unemp_lvl_retrant,unemp_lvl_newentrant,unemp_lvl_entrant,loser_wk5,leaver_wk5,retrant_wk5,newentrant_wk5,entrant_wk5,loser_wk514,leaver_wk514,retrant_wk514,newentrant_wk514,entrant_wk514,loser_wk15,leaver_wk15,retrant_wk15,newentrant_wk15,entrant_wk15,leaver_hazardinflow,loser_hazardinflow,entrant_hazardinflow
1982-01-01,9397.0,7830.0,1569.0,3924.0,3074.0,2409.0,6256.0,860.0,2141.0,926.0,3067.0,2396.048,404.2,1128.307,434.29400000000004,1562.601,2245.904,236.5,539.5319999999999,224.092,763.6239999999999,1620.3039999999999,219.3,473.16100000000006,267.614,740.7750000000001,0.02989022157343181,0.005457904460695255,0.04275401872972664
1982-02-01,9705.0,8012.0,1650.0,3808.0,3122.0,2758.0,6132.0,931.0,2300.0,1015.0,3315.0,1778.28,366.814,968.3,468.93,1437.23,2465.0640000000003,273.714,740.6,303.485,1044.085,1888.656,291.403,591.1,242.585,833.6850000000001,0.022661649109127813,0.004759950198769856,0.0374043592442022
1982-03-01,9895.0,8329.0,1585.0,3896.0,3107.0,2965.0,6246.0,840.0,2242.0,962.0,3204.0,1761.3719999999998,313.31999999999994,986.48,425.204,1411.684,2092.41,283.91999999999996,710.7139999999999,288.6,999.314,2392.218,242.76,547.048,249.158,796.206,0.022000077613269754,0.0042616886114410285,0.03847209178453415
1982-04-01,10244.0,8545.0,1721.0,3951.0,3227.0,3086.0,6000.0,838.0,2138.0,980.0,3118.0,1644.0,357.8260000000001,927.8919999999999,532.14,1460.032,1764.0,236.31599999999997,598.64,251.86,850.5,2592.0000000000005,243.85800000000003,611.4680000000001,196.0,807.4680000000001,0.02081531257665323,0.004836788398830378,0.04025796184301089
1982-05-01,10335.0,8691.0,1648.0,3885.0,3295.0,3276.0,5647.0,815.0,2382.0,1113.0,3495.0,1609.395,323.55500000000006,1183.854,573.195,1757.049,1558.5720000000001,217.605,624.0840000000001,296.05800000000005,920.142,2484.68,274.65500000000003,571.68,243.74699999999996,815.4269999999999,0.02057352300042618,0.004324686961183957,0.047060159525731456
1982-06-01,10538.0,8967.0,1516.0,3606.0,3413.0,3451.0,5804.0,793.0,2751.0,1538.0,4289.0,1787.632,341.783,1458.03,955.0980000000001,2413.128,1596.1,222.83300000000003,751.023,375.272,1126.295,2420.268,228.38400000000001,544.698,207.63,752.328,0.022514512506420444,0.004676386059303377,0.06526256983269485
1982-07-01,10849.0,9089.0,1799.0,3929.0,3300.0,3555.0,6078.0,854.0,2553.0,1551.0,4104.0,1908.4919999999997,379.176,1217.781,691.7460000000001,1909.527,1872.024,244.24400000000003,868.02,631.2570000000001,1499.277,2297.484,230.58,467.199,226.446,693.645,0.02412118412765229,0.005088508634349635,0.0521614035697557
1982-08-01,10881.0,9194.0,1664.0,3895.0,3354.0,3696.0,6042.0,912.0,2364.0,1393.0,3757.0,1818.642,403.10400000000004,1063.8,495.908,1559.708,1818.642,282.72,825.036,696.5,1521.536,2404.716,226.17600000000002,475.164,201.985,677.149,0.023244234945437613,0.0054166411980699335,0.04178693999585124
1982-09-01,11217.0,9538.0,1708.0,3966.0,3494.0,3889.0,6083.0,861.0,2487.0,1264.0,3751.0,1952.6430000000003,408.11400000000003,1270.857,505.6,1776.4569999999999,1745.8210000000001,264.327,706.308,467.68,1173.988,2384.536,188.55899999999997,509.835,289.45599999999996,799.2909999999999,0.02508742096338517,0.005818303359821848,0.047628159588441
1982-10-01,11529.0,9928.0,1650.0,3873.0,3471.0,4185.0,6520.0,847.0,2357.0,1218.0,3575.0,2021.2,317.625,1032.366,475.02,1507.386,1903.84,316.778,721.242,349.566,1070.808,2594.9599999999996,212.597,603.392,393.41399999999993,996.806,0.02524879773670919,0.004217373401163045,0.03975792722166974
