realtime_start,realtime_end,date,value
2023-04-08,2023-04-08,1959-04-01,1705.6328063164212
2023-04-08,2023-04-08,1959-05-01,1777.2418130510785
2023-04-08,2023-04-08,1959-06-01,1842.9637785267496
2023-04-08,2023-04-08,1959-07-01,1850.0087058268384
2023-04-08,2023-04-08,1959-08-01,1758.559980585543
2023-04-08,2023-04-08,1959-09-01,1723.4466406765555
2023-04-08,2023-04-08,1959-10-01,1666.7690484853124
2023-04-08,2023-04-08,1959-11-01,1735.8151045251475
2023-04-08,2023-04-08,1959-12-01,1658.2035068678179
2023-04-08,2023-04-08,1960-01-01,2116.416256754793
2023-04-08,2023-04-08,1960-02-01,2116.0172919431893
2023-04-08,2023-04-08,1960-03-01,2023.2655535962856
2023-04-08,2023-04-08,1960-04-01,1980.988964128435
2023-04-08,2023-04-08,1960-05-01,1956.5825967087699
2023-04-08,2023-04-08,1960-06-01,1913.5210198752602
2023-04-08,2023-04-08,1960-07-01,1843.8783654396836
2023-04-08,2023-04-08,1960-08-01,1820.5923533295247
2023-04-08,2023-04-08,1960-09-01,1750.8574459079477
2023-04-08,2023-04-08,1960-10-01,1679.593788937452
2023-04-08,2023-04-08,1960-11-01,1653.8649954631546
2023-04-08,2023-04-08,1960-12-01,1574.7453559915884
2023-04-08,2023-04-08,1961-01-01,1575.9086027919516
2023-04-08,2023-04-08,1961-02-01,1549.2665164334692
2023-04-08,2023-04-08,1961-03-01,1581.6353562706624
2023-04-08,2023-04-08,1961-04-01,1584.872739467454
2023-04-08,2023-04-08,1961-05-01,1654.1702275780483
2023-04-08,2023-04-08,1961-06-01,1677.276169321464
2023-04-08,2023-04-08,1961-07-01,1721.3449574234426
2023-04-08,2023-04-08,1961-08-01,1786.4967618895525
2023-04-08,2023-04-08,1961-09-01,1817.4122820359992
2023-04-08,2023-04-08,1961-10-01,1915.7565538797285
2023-04-08,2023-04-08,1961-11-01,1977.6585876824224
2023-04-08,2023-04-08,1961-12-01,1956.300659803168
2023-04-08,2023-04-08,1962-01-01,2050.2616794013256
2023-04-08,2023-04-08,1962-02-01,2017.636969581767
2023-04-08,2023-04-08,1962-03-01,2017.7802493449776
2023-04-08,2023-04-08,1962-04-01,2013.8830397856439
2023-04-08,2023-04-08,1962-05-01,2086.922441435862
2023-04-08,2023-04-08,1962-06-01,2020.6458446091935
2023-04-08,2023-04-08,1962-07-01,2014.570782649056
2023-04-08,2023-04-08,1962-08-01,1981.5371253548046
2023-04-08,2023-04-08,1962-09-01,1946.8750697398166
2023-04-08,2023-04-08,1962-10-01,1914.1958212276495
2023-04-08,2023-04-08,1962-11-01,1912.9541865310819
2023-04-08,2023-04-08,1962-12-01,1912.4953215345245
2023-04-08,2023-04-08,1963-01-01,1946.6835370498648
2023-04-08,2023-04-08,1963-02-01,1949.8575073405034
2023-04-08,2023-04-08,1963-03-01,1980.671715528923
2023-04-08,2023-04-08,1963-04-01,1948.504761441226
2023-04-08,2023-04-08,1963-05-01,1912.3333690665922
2023-04-08,2023-04-08,1963-06-01,1920.0911825759283
2023-04-08,2023-04-08,1963-07-01,1982.1496231205022
2023-04-08,2023-04-08,1963-08-01,1950.923508721702
2023-04-08,2023-04-08,1963-09-01,1946.9641803935813
2023-04-08,2023-04-08,1963-10-01,2017.8285028073803
2023-04-08,2023-04-08,1963-11-01,1981.4877629954897
2023-04-08,2023-04-08,1963-12-01,2081.961818484634
2023-04-08,2023-04-08,1964-01-01,2086.807077883778
2023-04-08,2023-04-08,1964-02-01,2055.925759241599
2023-04-08,2023-04-08,1964-03-01,2083.660284469301
2023-04-08,2023-04-08,1964-04-01,2181.0163880954196
2023-04-08,2023-04-08,1964-05-01,2184.617979150358
2023-04-08,2023-04-08,1964-06-01,2254.8248778248662
2023-04-08,2023-04-08,1964-07-01,2321.5396334215147
2023-04-08,2023-04-08,1964-08-01,2284.5157726716734
2023-04-08,2023-04-08,1964-09-01,2316.989068081984
2023-04-08,2023-04-08,1964-10-01,2317.5581198383693
2023-04-08,2023-04-08,1964-11-01,2425.2538451441524
2023-04-08,2023-04-08,1964-12-01,2417.5954963086415
2023-04-08,2023-04-08,1965-01-01,2448.220389546321
2023-04-08,2023-04-08,1965-02-01,2553.3857025243074
2023-04-08,2023-04-08,1965-03-01,2583.9092838936804
2023-04-08,2023-04-08,1965-04-01,2621.1041559171476
2023-04-08,2023-04-08,1965-05-01,2725.877713497238
2023-04-08,2023-04-08,1965-06-01,2751.4151591069826
2023-04-08,2023-04-08,1965-07-01,2764.319581653458
2023-04-08,2023-04-08,1965-08-01,2855.5216800587195
2023-04-08,2023-04-08,1965-09-01,2961.3486682929156
2023-04-08,2023-04-08,1965-10-01,3057.7191912319254
2023-04-08,2023-04-08,1965-11-01,3263.467822069414
2023-04-08,2023-04-08,1965-12-01,3331.9145064154277
2023-04-08,2023-04-08,1966-01-01,3363.8413050808617
2023-04-08,2023-04-08,1966-02-01,3436.6052391055496
2023-04-08,2023-04-08,1966-03-01,3636.468122085842
2023-04-08,2023-04-08,1966-04-01,3495.996272600572
2023-04-08,2023-04-08,1966-05-01,3528.951172896322
2023-04-08,2023-04-08,1966-06-01,3566.2767530409856
2023-04-08,2023-04-08,1966-07-01,3570.472539139848
2023-04-08,2023-04-08,1966-08-01,3528.8504147466497
2023-04-08,2023-04-08,1966-09-01,3459.0093871426925
2023-04-08,2023-04-08,1966-10-01,3465.5129942527356
2023-04-08,2023-04-08,1966-11-01,3470.0417439694024
2023-04-08,2023-04-08,1966-12-01,3428.938385639645
2023-04-08,2023-04-08,1967-01-01,3457.1864994961
2023-04-08,2023-04-08,1967-02-01,3423.5695542533526
2023-04-08,2023-04-08,1967-03-01,3330.266881330992
2023-04-08,2023-04-08,1967-04-01,3364.0515100527628
2023-04-08,2023-04-08,1967-05-01,3335.4891051025593
2023-04-08,2023-04-08,1967-06-01,3328.510918313992
2023-04-08,2023-04-08,1967-07-01,3265.2611303977947
2023-04-08,2023-04-08,1967-08-01,3361.917843091883
2023-04-08,2023-04-08,1967-09-01,3323.0869942549925
2023-04-08,2023-04-08,1967-10-01,3397.2260441091203
2023-04-08,2023-04-08,1967-11-01,3368.184252800431
2023-04-08,2023-04-08,1967-12-01,3395.618352662715
2023-04-08,2023-04-08,1968-01-01,3470.8600107142693
2023-04-08,2023-04-08,1968-02-01,3427.715977850497
2023-04-08,2023-04-08,1968-03-01,3501.1939080468146
2023-04-08,2023-04-08,1968-04-01,3559.7015979233524
2023-04-08,2023-04-08,1968-05-01,3571.3664193545933
2023-04-08,2023-04-08,1968-06-01,3569.1044486505757
2023-04-08,2023-04-08,1968-07-01,3664.5361656437262
2023-04-08,2023-04-08,1968-08-01,3730.009656321549
2023-04-08,2023-04-08,1968-09-01,3805.129294444792
2023-04-08,2023-04-08,1968-10-01,3997.44290529707
2023-04-08,2023-04-08,1968-11-01,3997.7932473626
2023-04-08,2023-04-08,1968-12-01,3937.158546234834
2023-04-08,2023-04-08,1969-01-01,4101.85318004458
2023-04-08,2023-04-08,1969-02-01,4097.849850892089
2023-04-08,2023-04-08,1969-03-01,4130.532057452434
2023-04-08,2023-04-08,1969-04-01,4170.635601117107
2023-04-08,2023-04-08,1969-05-01,4177.344606765869
2023-04-08,2023-04-08,1969-06-01,4028.087766531846
2023-04-08,2023-04-08,1969-07-01,4004.7407449570605
2023-04-08,2023-04-08,1969-08-01,3928.596516948306
2023-04-08,2023-04-08,1969-09-01,4162.938981729562
2023-04-08,2023-04-08,1969-10-01,4098.05413977123
2023-04-08,2023-04-08,1969-11-01,4002.885687866255
2023-04-08,2023-04-08,1969-12-01,3863.144842567535
2023-04-08,2023-04-08,1970-01-01,3698.164203802106
2023-04-08,2023-04-08,1970-02-01,3660.269386947781
2023-04-08,2023-04-08,1970-03-01,3462.202215370053
2023-04-08,2023-04-08,1970-04-01,3364.752378932737
2023-04-08,2023-04-08,1970-05-01,3156.5883287268575
2023-04-08,2023-04-08,1970-06-01,3095.62898347529
2023-04-08,2023-04-08,1970-07-01,2988.6670345866787
